item_code,name,description,category,price_coins,price_gems,is_premium,rarity,preview_url,is_available,release_date
board_bamboo,Bàn Cờ Tre,Bàn cờ tre xanh thanh lịch,skin_board,2000,0,false,rare,null,true,2025-11-15 11:21:08.133728+00
board_classic,Bàn Cờ Cổ Điển,Bàn cờ gỗ truyền thống,skin_board,0,0,false,common,null,true,2025-11-15 11:21:08.133728+00
board_marble,Bàn Cờ Đá Cẩm Thạch,Bàn cờ đá cẩm thạch cao cấp,skin_board,10000,0,false,legendary,null,true,2025-11-15 11:21:08.133728+00
board_royal,Bàn Cờ Hoàng Gia,Bàn cờ dành cho hoàng tộc,skin_board,0,100,false,legendary,null,true,2025-11-15 11:21:08.133728+00
board_sakura,Bàn Cờ Hoa Anh Đào,Bàn cờ với họa tiết hoa anh đào,skin_board,6000,0,false,epic,null,true,2025-11-15 11:21:08.133728+00
board_space,Bàn Cờ Vũ Trụ,Bàn cờ với nền vũ trụ huyền bí,skin_board,0,120,false,legendary,null,true,2025-11-15 11:21:08.133728+00
frame_bronze,Khung Đồng,Khung avatar màu đồng,avatar_frame,1000,0,false,common,null,true,2025-11-15 11:21:08.133728+00
frame_diamond,Khung Kim Cương,Khung avatar kim cương,avatar_frame,0,100,false,legendary,null,true,2025-11-15 11:21:08.133728+00
frame_gold,Khung Vàng,Khung avatar màu vàng,avatar_frame,0,30,false,epic,null,true,2025-11-15 11:21:08.133728+00
frame_silver,Khung Bạc,Khung avatar màu bạc,avatar_frame,3000,0,false,rare,null,true,2025-11-15 11:21:08.133728+00
skin_bamboo_pieces,Quân Cờ Tre Xanh,Quân cờ tre thanh mát,skin_piece,1000,0,false,common,null,true,2025-11-15 11:21:08.133728+00
skin_classic_wood,Quân Cờ Gỗ Cổ Điển,"Quân cờ gỗ truyền thống, miễn phí cho mọi người",skin_piece,0,0,false,common,null,true,2025-11-15 11:21:08.133728+00
skin_crystal_pieces,Quân Cờ Thủy Tinh,Quân cờ thủy tinh trong suốt lung linh,skin_piece,8000,0,false,epic,null,true,2025-11-15 11:21:08.133728+00
skin_fire_pieces,Quân Cờ Hỏa Diễm,Quân cờ cháy bùng ngọn lửa,skin_piece,0,80,false,legendary,null,true,2025-11-15 11:21:08.133728+00
skin_gold_pieces,Quân Cờ Hoàng Kim,Quân cờ vàng óng ánh dành cho vua chúa,skin_piece,0,50,false,legendary,null,true,2025-11-15 11:21:08.133728+00
skin_ice_pieces,Quân Cờ Băng Tinh,Quân cờ băng giá lạnh lẽo,skin_piece,0,80,false,legendary,null,true,2025-11-15 11:21:08.133728+00
skin_jade_pieces,Quân Cờ Ngọc Bích,Quân cờ làm từ ngọc bích quý giá,skin_piece,5000,0,false,epic,null,true,2025-11-15 11:21:08.133728+00
title_legend,Danh Hiệu: Huyền Thoại,Danh hiệu dành cho huyền thoại,title,0,0,false,legendary,null,true,2025-11-15 11:21:08.133728+00
title_master,Danh Hiệu: Kỳ Thánh,Danh hiệu dành cho bậc thầy,title,0,0,false,legendary,null,true,2025-11-15 11:21:08.133728+00
title_newbie,Danh Hiệu: Tân Thủ,Danh hiệu dành cho người chơi mới,title,0,0,false,common,null,true,2025-11-15 11:21:08.133728+00
